SPA Эко,5000,4000,3000
1+17+5,Массаж с проработкой «Традиционный Тайский (Тай)»+Relax массаж Стоун+Массаж с проработкой «Восстанавливающий»,240,1,12400
44+32+1,Программы для похудения «Слим и тай ойл»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
12+24+3,Relax массаж «Тай Оил»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
15+7+2,"Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",240,1,12800
28+8+1,Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,14000
18+27,Программы для лица и головы «Лицо»+Массаж в 4 руки «Тай в 4 руки»,150,1,13200
12+46+1,Relax массаж «Тай Оил»+Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14800
25+19+2,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,12800
46+43+1,Программы для похудения «Имбирный коктейль»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,16000
33+16,SPA - уход «Королевская спа программа»+Relax массаж Тай Оил + травяные мешочки,240,1,13200
36+18,SPA - уход «Обновление и тонус»+Программы для лица и головы «Лицо»,240,1,12800
SPA Премиум вая,20000,16000,12000
31+19+1+4+6,"SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,14000
15+45,Relax массаж Тай Оил + травяные мешочки+Программы для похудения «Талассотерапия»,210,1,13200
45+32,Программы для похудения «Талассотерапия»+SPA - уход «Принцесса сиама»,210,1,13600
4+33+1,Массаж с проработкой «Восстанавливающий»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
1+4+7+8,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Тай + травяные мешочки»",240,1,13200
23+20+1+4+7,"Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,13600
25+2+4,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,14000
10+45,Массаж с проработкой «Спорт-oil»+Программы для похудения «Талассотерапия»,180,1,12000
17+32+1,Relax массаж Стоун+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
4+44+2,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
4+17+1+6,"Массаж с проработкой «Восстанавливающий»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,13200
SPA Премиум вая,20000,16000,12000
4+43+2,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
6+27,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж в 4 руки «Тай в 4 руки»",150,1,13200
10+35,Массаж с проработкой «Спорт-oil»+SPA - уход «Целебные травы»,240,1,12800
46+44,Программы для похудения «Имбирный коктейль»+Программы для похудения «Слим и тай ойл»,210,1,13600
19+4+2+7,"Программы для лица и головы «Голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
46+32,Программы для похудения «Имбирный коктейль»+SPA - уход «Принцесса сиама»,210,1,13600
12+27,Relax массаж «Тай Оил»+Массаж в 4 руки «Тай в 4 руки»,180,1,14800
19+17+3,Программы для лица и головы «Голова»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
20+36,Программы для лица и головы «Лицо и голова»+SPA - уход «Обновление и тонус»,240,1,12800
23+27,Программы для рук и ног «Ноги»+Массаж в 4 руки «Тай в 4 руки»,150,1,13200
28+17,Массаж в 4 руки «Тай Ойл в 4 руки»+Relax массаж Стоун,150,1,12000
17+45,Relax массаж Стоун+Программы для похудения «Талассотерапия»,210,1,12800
10+46,Массаж с проработкой «Спорт-oil»+Программы для похудения «Имбирный коктейль»,180,1,12000
28+3+4,Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,16000
SPA Премиум вая,20000,16000,12000
28+44,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для похудения «Слим и тай ойл»,150,1,12800
10+25+3,Массаж с проработкой «Спорт-oil»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,16000
28+45,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для похудения «Талассотерапия»,180,1,15200
25+2+4+6,"Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,16000
28+21+1,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,14000
8+18+1+5,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13200
25+7+1,"Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,12800
6+44+2,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,12000
22+8+2+4,Программы для рук и ног «Руки»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13200
34+22+2,SPA - уход «Мужской комплимент»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
23+44+2,Программы для рук и ног «Ноги»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
6+43+1+5,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",240,1,14400
1+25+4+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,16000
SPA Премиум вая,20000,16000,12000
4+43+2+6,"Массаж с проработкой «Восстанавливающий»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,14400
45+1+4,Программы для похудения «Талассотерапия»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,14400
12+19+1+5,Relax массаж «Тай Оил»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13200
32+24+2,SPA - уход «Принцесса сиама»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
12+7+3,"Relax массаж «Тай Оил»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",240,1,12400
43+45,Программы для похудения «Слим»+Программы для похудения «Талассотерапия»,180,1,12800
18+5+3,Программы для лица и головы «Лицо»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12000
10+4+3,Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
43+44+1,Программы для похудения «Слим»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,13600
45+43+1,Программы для похудения «Талассотерапия»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,16000
33+32,SPA - уход «Королевская спа программа»+SPA - уход «Принцесса сиама»,210,1,12000
44+14,Программы для похудения «Слим и тай ойл»+Relax массаж «Тай Оил»,210,1,12000
28+18+2,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,13600
SPA Премиум вая,20000,16000,12000
8+4+1+6,"Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,12000
23+32+2,Программы для рук и ног «Ноги»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
25+20+1+5,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,16000
20+11+3,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
12+1+4+6,"Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,12000
1+20+5+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
44+21+2,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
12+22+1+4+6,"Relax массаж «Тай Оил»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,14000
12+29,Relax массаж «Тай Оил»+Массаж в 4 руки «Тай Ойл в 4 руки»,150,1,13200
33+45,SPA - уход «Королевская спа программа»+Программы для похудения «Талассотерапия»,240,1,14400
19+36,Программы для лица и головы «Голова»+SPA - уход «Обновление и тонус»,240,1,12800
SPA Премиум вая,20000,16000,12000
34+3,SPA - уход «Мужской комплимент»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12000
35+8,SPA - уход «Целебные травы»+Массаж с проработкой «Тай + травяные мешочки»,240,1,12400
28+33,Массаж в 4 руки «Тай Ойл в 4 руки»+SPA - уход «Королевская спа программа»,180,1,13600
34+16,SPA - уход «Мужской комплимент»+Relax массаж Тай Оил + травяные мешочки,240,1,13200
22+32+2,Программы для рук и ног «Руки»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
32+46,SPA - уход «Принцесса сиама»+Программы для похудения «Имбирный коктейль»,210,1,13600
34+32,SPA - уход «Мужской комплимент»+SPA - уход «Принцесса сиама»,210,1,12000
31+5+1+6,"SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,13200
19+43+1+4+6,"Программы для лица и головы «Голова»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,15200
23+1+5+7,"Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
46+3,Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
46+10,Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Спорт-oil»,180,1,12000
SPA Премиум вая,20000,16000,12000
25+33+1,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,16000
10+46+1,Массаж с проработкой «Спорт-oil»+Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,15200
36+6,"SPA - уход «Обновление и тонус»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
23+29+1,Программы для рук и ног «Ноги»+Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,14800
32+33,SPA - уход «Принцесса сиама»+SPA - уход «Королевская спа программа»,210,1,12000
43+26,Программы для похудения «Слим»+Массаж в 4 руки «Тай в 4 руки»,150,1,13600
19+18+3+4,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
34+11,SPA - уход «Мужской комплимент»+Массаж с проработкой «Спорт-oil»,210,1,12400
43+35,Программы для похудения «Слим»+SPA - уход «Целебные травы»,240,1,13600
8+23+1+5,Массаж с проработкой «Тай + травяные мешочки»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13200
SPA Премиум вая,20000,16000,12000
22+43+1+4+6,"Программы для рук и ног «Руки»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,15200
15+23+1+4,Relax массаж Тай Оил + травяные мешочки+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13600
46+24+1,Программы для похудения «Имбирный коктейль»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
6+33+2,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»",240,1,12800
15+18+1+4,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13600
34+44,SPA - уход «Мужской комплимент»+Программы для похудения «Слим и тай ойл»,210,1,12000
18+36,Программы для лица и головы «Лицо»+SPA - уход «Обновление и тонус»,240,1,12800
25+29,Массаж в 4 руки «Тай в 4 руки»+Массаж в 4 руки «Тай Ойл в 4 руки»,150,1,16000
23+46+1,Программы для рук и ног «Ноги»+Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,13200
43+32+2,Программы для похудения «Слим»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14800
43+17+1,Программы для похудения «Слим»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
34+31+1,SPA - уход «Мужской комплимент»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
22+43+1+4,Программы для рук и ног «Руки»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,13200
32+28+1,SPA - уход «Принцесса сиама»+Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,16000
20+45+1,Программы для лица и головы «Лицо и голова»+Программы для похудения «Талассотерапия»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,13200
SPA Премиум вая,20000,16000,12000
44+17+1,Программы для похудения «Слим и тай ойл»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
23+22+3+4,Программы для рук и ног «Ноги»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
17+31+2,Relax массаж Стоун+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
18+43+2+4,Программы для лица и головы «Лицо»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,14400
32+17+1,SPA - уход «Принцесса сиама»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
44+43+2,Программы для похудения «Слим и тай ойл»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14800
36+22,SPA - уход «Обновление и тонус»+Программы для рук и ног «Руки»,240,1,12800
44+18+2,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
22+21+2+4,Программы для рук и ног «Руки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13200
44+10+1,Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
15+31+1,Relax массаж Тай Оил + травяные мешочки+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
22+16+2,Программы для рук и ног «Руки»+Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
SPA Премиум вая,20000,16000,12000
4+18+1+6+8,"Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Тай + травяные мешочки»",240,1,14000
12+35,Relax массаж «Тай Оил»+SPA - уход «Целебные травы»,240,1,12400
33+1+4,SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
15+44+1,Relax массаж Тай Оил + травяные мешочки+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14000
12+33+1,Relax массаж «Тай Оил»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
10+19+2+4,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13600
31+35,SPA - уход «Бархатное прикосновение»+SPA - уход «Целебные травы»,240,1,12400
19+43+1+4,Программы для лица и головы «Голова»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,13200
45+34,Программы для похудения «Талассотерапия»+SPA - уход «Мужской комплимент»,240,1,14400
15+29,Relax массаж Тай Оил + травяные мешочки+Массаж в 4 руки «Тай Ойл в 4 руки»,180,1,14800
4+46+1,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
8+35,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Целебные травы»,240,1,12400
22+46+2,Программы для рук и ног «Руки»+Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
8+25+3,Массаж с проработкой «Тай + травяные мешочки»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,15600
43+12+2,Программы для похудения «Слим»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
SPA Премиум вая,20000,16000,12000
25+46,Массаж в 4 руки «Тай в 4 руки»+Программы для похудения «Имбирный коктейль»,180,1,14400
44+46,Программы для похудения «Слим и тай ойл»+Программы для похудения «Имбирный коктейль»,210,1,13600
12+31+3,Relax массаж «Тай Оил»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
12+4+3,Relax массаж «Тай Оил»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
31+18+2+4,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13200
33+14,SPA - уход «Королевская спа программа»+Relax массаж «Тай Оил»,240,1,12800
32+9+1,SPA - уход «Принцесса сиама»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
25+14,Массаж в 4 руки «Тай в 4 руки»+Relax массаж «Тай Оил»,180,1,12800
45+44,Программы для похудения «Талассотерапия»+Программы для похудения «Слим и тай ойл»,210,1,13600
19+33+2,Программы для лица и головы «Голова»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
31+10+2,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
SPA Премиум вая,20000,16000,12000
4+6+1+9,"Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Тай + травяные мешочки»",240,1,13200
20+31+1+4,Программы для лица и головы «Лицо и голова»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,12000
32+34,SPA - уход «Принцесса сиама»+SPA - уход «Мужской комплимент»,210,1,12000
25+4+1+6,"Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,14800
22+36,Программы для рук и ног «Руки»+SPA - уход «Обновление и тонус»,240,1,12800
46+17,Программы для похудения «Имбирный коктейль»+Relax массаж Стоун,210,1,12800
33+46,SPA - уход «Королевская спа программа»+Программы для похудения «Имбирный коктейль»,240,1,14400
44+23+3,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
20+18+1+4+6,"Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,12400
43+21+3,Программы для похудения «Слим»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14000
8+17+2,Массаж с проработкой «Тай + травяные мешочки»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
SPA Премиум вая,20000,16000,12000
10+44+2,Массаж с проработкой «Спорт-oil»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14000
34+46,SPA - уход «Мужской комплимент»+Программы для похудения «Имбирный коктейль»,240,1,14400
1+8+4+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,13200
25+19+2+4,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,16000
6+21+1+4,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",210,1,12000
45+46,Программы для похудения «Талассотерапия»+Программы для похудения «Имбирный коктейль»,240,1,16000
22+23+2+5,Программы для рук и ног «Руки»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
43+8+1+4,Программы для похудения «Слим»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,14800
6+16+2,"Массаж с проработкой «Спина, Шея, и Плечи»+Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Традиционный Тайский (Тай)»",240,1,13200
22+33+2,Программы для рук и ног «Руки»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
31+44+2,SPA - уход «Бархатное прикосновение»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
1+35,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Целебные травы»,240,1,12000
4+24+3,Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12000
SPA Премиум вая,20000,16000,12000
19+29+1,Программы для лица и головы «Голова»+Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,14800
46+45,Программы для похудения «Имбирный коктейль»+Программы для похудения «Талассотерапия»,240,1,16000
1+45+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Талассотерапия»+Массаж с проработкой «Восстанавливающий»,240,1,14400
19+21+1+4+6,"Программы для лица и головы «Голова»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,14000
25+22+1+5,Массаж в 4 руки «Тай в 4 руки»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,16000
46+9,Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Тай + травяные мешочки»,210,1,12800
31+16+1,SPA - уход «Бархатное прикосновение»+Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
25+31+2,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,14400
10+18+1+5,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13600
25+10+1,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,13600
6+28+1+4,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",210,1,15600
32+45,SPA - уход «Принцесса сиама»+Программы для похудения «Талассотерапия»,210,1,13600
18+44+2,Программы для лица и головы «Лицо»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
SPA Премиум вая,20000,16000,12000
23+36,Программы для рук и ног «Ноги»+SPA - уход «Обновление и тонус»,240,1,12800
25+45,Массаж в 4 руки «Тай в 4 руки»+Программы для похудения «Талассотерапия»,180,1,14400
